task_id,type,task,answerable,success_criteria,reference_answer,capable_agents,expected_agents,evidence,required_constraints,inject_faults,source
t11,single,My dog tore a cruciate ligament. How long must the policy have been in force before that is covered — under Embrace and under Nationwide?,True,"{""all"": [{""contains_amount"": 180}, {""any"": [{""contains_amount"": 12}, {""contains_any"": [""twelve""]}]}, {""judge"": ""Attributes the 180-day rule to Embrace and the first-twelve-months rule to Nationwide.""}]}",They differ. Embrace treats a cruciate ligament injury occurring before the end of the illness waiting period or during the first 180 days after the Pet Original Start Date as a pre-existing condition for the life of the policy. Nationwide excludes cruciate ligament or meniscal damage or rupture that occurs during the first twelve calendar months the policy is in effect.,"[""researcher""]","[""researcher""]","[{""policy"": ""embrace"", ""page"": ""7"", ""quote"": ""The following Orthopedic conditions that occur before the end of the Illness Waiting Period or during the first 180 days after the Pet Original Start Date are excluded and are Pre-existing Conditions for the life of the policy: a. Cruciate Ligament Injury;""}, {""policy"": ""nationwide"", ""page"": ""3"", ""quote"": ""Diagnosis or treatment of cruciate ligament or meniscal damage or rupture that occurs during the first twelve calendar months that this policy is in effect.""}]",,,lesson3:37
t12,single,How many days does the insured have to report a new vehicle acquisition?,True,"{""contains_amount"": 30}",30 days: an additional vehicle must be added within 30 days after you become the owner.,"[""researcher""]","[""researcher""]","[{""policy"": ""auto"", ""page"": ""3"", ""quote"": ""If a newly acquired auto is in addition to any vehicle shown in the Declarations, you must ask us to insure the additional vehicle within 30 days after you become the owner.""}]",,,a4:t17
t13,single,What constitutes an 'insured person' under Part A - Liability Coverage?,True,"{""judge"": ""Names at least: you or a family member, and any person using your covered auto.""}","You or any family member for the ownership, maintenance or use of any auto or trailer; any person using your covered auto; and, for your covered auto, any person or organization for legal responsibility for acts of a covered person.","[""researcher""]","[""researcher""]","[{""policy"": ""auto"", ""page"": ""4"", ""quote"": ""B. Insured as used in this Part means: 1. You or any family member for the ownership, maintenance or use of any auto or trailer. 2. Any person using or responsible for the use of your covered auto.""}]",,,a4:t19
t14,single,What geographical territory is covered under the policy conditions?,True,"{""contains_all"": [""Puerto Rico"", ""Canada""]}","The United States of America, its territories or possessions; Puerto Rico; or Canada, plus transport between their ports.","[""researcher""]","[""researcher""]","[{""policy"": ""auto"", ""page"": ""14"", ""quote"": ""The Policy Territory is: 1. The United States of America, its territories or possessions; 2. Puerto Rico; or 3. Canada.""}]",,,a4:t22
t15,single,Does the policy cover towing and labor costs by default?,True,"{""judge"": ""Says towing and labor is covered only when the Declarations show that coverage, so not by default.""}",No. Towing and labor costs are paid only if the Declarations show Towing And Labor Costs Coverage for the auto.,"[""researcher""]","[""researcher""]","[{""policy"": ""auto"", ""page"": ""11"", ""quote"": ""If the Declarations indicate that Towing And Labor Costs Coverage is provided for a your covered auto, we will pay towing and labor costs""}]",,,a4:t24
t16,single,What happens if an accident occurs in a state with higher financial responsibility limits than this policy?,True,"{""judge"": ""Says the policy provides the higher limit required by that state's law.""}",The policy provides the higher limit that state's financial responsibility law specifies.,"[""researcher""]","[""researcher""]","[{""policy"": ""auto"", ""page"": ""6"", ""quote"": ""A financial responsibility or similar law specifying limits of liability for bodily injury or property damage higher than the limit shown in the Declarations, your policy will provide the higher specified limit.""}]",,,a4:t25
t17,single,"I had to miss work to attend a court hearing about my car accident. Does my auto policy pay anything for that, or am I on my own?",True,"{""contains_amount"": 200}",It pays up to $200 a day for loss of earnings (not other income) for attending hearings or trials at the insurer's request.,"[""researcher""]","[""researcher""]","[{""policy"": ""auto"", ""page"": ""4"", ""quote"": ""Up to $200 a day for loss of earnings, but not other income, because of attendance at hearings or trails at our request.""}]",,,new
t18,single,Is there any upper limit on how high a deductible I can choose on my flood insurance?,True,"{""contains_amount"": 10000}","Yes. FEMA offers deductible options up to and including $10,000.","[""researcher""]","[""researcher""]","[{""policy"": ""flood"", ""page"": ""§ 61.5"", ""quote"": ""FEMA must provide policyholders with deductible options in various amounts, up to and including $10,000""}]",,,new
t19,cross_domain,I was in three separate covered accidents this policy period and needed a bail bond each time. What is the most my auto policy will pay for bail bonds in total?,True,"{""all"": [{""contains_amount"": 750.0}]}","Up to $250 per accident, so at most 3 x $250 = $750.","[""researcher""]","[""researcher"", ""analyst""]","[{""policy"": ""auto"", ""page"": ""4"", ""quote"": ""Up to $250 for the cost of bail bonds required because of any accident, including related traffic law violations. The accident must result in bodily injury or property damage covered under this policy.""}]",,,new
t20,cross_domain,"I damaged a trailer I borrowed (I don't own it) and the repair is $2,300. What's the most my auto policy pays for it, and how much of the repair is above that cap? Ignore any deductible.",True,"{""all"": [{""contains_amount"": 1500}, {""contains_amount"": 800.0}]}","The policy pays at most $1,500 for a non-owned trailer, leaving $2,300 - $1,500 = $800.","[""researcher""]","[""researcher"", ""analyst""]","[{""policy"": ""auto"", ""page"": ""13"", ""quote"": ""However, the most we will pay for loss to: 1. Any non-owned auto which is a trailer is $1,500.""}]",,,new
t21,cross_domain,"My vet ran specialized diagnostic tests costing $1,200 this policy term under my Nationwide plan. How much of that is above the plan's per-term cap for those tests? Ignore the deductible and reimbursement percentage.",True,"{""all"": [{""contains_amount"": 450.0}]}","The plan pays no more than $750 per policy term, so $1,200 - $750 = $450 is above the cap.","[""researcher""]","[""researcher"", ""analyst""]","[{""policy"": ""nationwide"", ""page"": ""2"", ""quote"": ""We will not pay more than seven hundred fifty dollars ($750) in Specialized Diagnostic Tests per policy term.""}]",,,new
t22,cross_domain,"My annual Allstate auto premium is $1,200. If I cancel the policy myself with exactly half of the policy period left, roughly how much refund should I expect?",True,"{""all"": [{""contains_amount"": 540.0}]}",Unearned premium is $600 pro rata; if you cancel you get 90% of it: 0.9 x $600 = $540 (computed according to the insurer's manuals).,"[""researcher""]","[""researcher"", ""analyst""]","[{""policy"": ""auto"", ""page"": ""15"", ""quote"": ""If you cancel, we will refund you 90% of the pro rata unearned premium, computed according to our manuals.""}]",,,new
t23,cross_domain,"My dog had two dental illness treatments this policy year, $700 and $600. By how much does that total exceed Embrace's annual limit for dental illness? Ignore the deductible and reimbursement percentage.",True,"{""all"": [{""contains_amount"": 300.0}]}","Dental illness has a $1,000 Annual Maximum sub-limit; $700 + $600 = $1,300, which is $300 over it.","[""researcher""]","[""researcher"", ""analyst""]","[{""policy"": ""embrace"", ""page"": ""6"", ""quote"": ""eligible Veterinary Treatment expenses caused by Dental Illness, in excess of the Deductible amount, subject to Reimbursement Percentage requirements and a $1,000 Annual Maximum sub-limit""}]",,,new
t24,cross_domain,"My single-family home would cost $320,000 to rebuild. Under the NFIP regular program, how much of that is above the maximum building coverage I can buy?",True,"{""all"": [{""contains_amount"": 70000.0}]}","The regular-program maximum for a single-family dwelling is $250,000, so $70,000 is above it.","[""researcher""]","[""researcher"", ""analyst""]","[{""policy"": ""flood"", ""page"": ""§ 61.6"", ""quote"": ""Building Coverage | Single-Family Dwelling | * $35,000 | $250,000.""}]",,,new
t25,cross_domain,"Assume my auto policy carries Virginia's minimum liability limits. Three people are injured in one accident and each has $30,000 of bodily injury damages. What is the most the policy pays in total?",True,"{""contains_amount"": 50000.0}","Each person is capped at $25,000 (3 x $25,000 = $75,000), but the per-accident cap is $50,000, so the most paid is $50,000.","[""researcher""]","[""researcher"", ""analyst""]","[{""policy"": ""auto"", ""page"": ""4"", ""quote"": ""1. $25,000 for each person, subject to $50,000 for each accident, with respect to bodily injury; and 2. $20,000 for each accident with respect to property damage.""}]",,,new
t26,cross_domain,"Assume my auto policy carries Virginia's minimum liability limits. I cause one accident that does $12,000 of damage to one car and $15,000 to another. How much of that property damage is above the policy's property damage limit?",True,"{""all"": [{""contains_amount"": 7000.0}]}","The minimum property damage limit is $20,000 per accident; $12,000 + $15,000 = $27,000, so $7,000 is above it.","[""researcher""]","[""researcher"", ""analyst""]","[{""policy"": ""auto"", ""page"": ""4"", ""quote"": ""1. $25,000 for each person, subject to $50,000 for each accident, with respect to bodily injury; and 2. $20,000 for each accident with respect to property damage.""}]",,,new
t27,misroute_bait,"Calculate my minimum flood deductible: a post-FIRM building with $80,000 of building coverage, charged full-risk rates.",True,"{""contains_amount"": 1000}","$1,000. It is a lookup, not a calculation: the minimum for post-FIRM buildings with coverage of $100,000 or less.","[""researcher""]","[""researcher""]","[{""policy"": ""flood"", ""page"": ""§ 61.5"", ""quote"": ""(c) The minimum deductible for policies covering post-FIRM buildings and pre-FIRM buildings charged full risk rates, with building coverage amounts equal to or less than $100,000 is $1,000.""}]",,,new
t28,misroute_bait,"Can you look up in the policy what 18% VAT on a $12,000 repair bill comes to?",True,"{""any"": [{""contains_amount"": 2160.0}, {""contains_amount"": 14160.0}]}","18% of $12,000 is $2,160 ($14,160 including VAT). VAT is not a policy term; this is arithmetic only.","[""analyst""]","[""analyst""]",[],,,new
t29,misroute_bait,Please format this nicely as bullet points: how long is the illness waiting period on the Embrace pet policy?,True,"{""any"": [{""contains_amount"": 14}, {""contains_any"": [""fourteen""]}]}","- Illness waiting period: fourteen (14) days
- Starts from the Pet Original Start Date","[""researcher""]","[""researcher"", ""writer""]","[{""policy"": ""embrace"", ""page"": ""3"", ""quote"": ""Illness Waiting Period is the fourteen (14) day period of time where the policy’s Coverage is restricted. The Illness Waiting Period starts from the Pet Original Start Date.""}]",,,new
t30,misroute_bait,Work out the most Nationwide will pay for specialized diagnostic tests in one policy term.,True,"{""contains_amount"": 750}","$750 per policy term. It is a stated cap, no calculation needed.","[""researcher""]","[""researcher""]","[{""policy"": ""nationwide"", ""page"": ""2"", ""quote"": ""We will not pay more than seven hundred fifty dollars ($750) in Specialized Diagnostic Tests per policy term.""}]",,,new
t31,no_tool,Hello! What kind of tasks can you help me with today?,True,"{""no_dispatch"": true}","A greeting and a short overview of what the assistant can do, answered without any tool or worker.","[""orchestrator""]","[""orchestrator""]",[],,,a4:t07
t32,no_tool,What is the general purpose of an insurance policy deductible?,True,"{""all"": [{""no_dispatch"": true}, {""judge"": ""Explains that a deductible is the amount the policyholder pays before the insurer pays.""}]}",A deductible is the amount the policyholder pays toward a covered loss before the insurer pays; it keeps small claims off the policy and lowers the premium.,"[""orchestrator""]","[""orchestrator""]",[],,,a4:t09
t33,no_tool,What types of tasks can this multi-agent system help me with?,True,"{""no_dispatch"": true}","An overview of what the assistant can do (policy lookups, calculations, formatting), without any tool or worker.","[""orchestrator""]","[""orchestrator""]",[],,,a4:t33
t34,handoff_stress,"What does the Allstate auto policy pay for bail bonds after a covered accident? Answer in Hebrew, in under 30 words.",True,"{""all"": [{""language"": ""he""}, {""max_words"": 30}, {""contains_amount"": 250}]}",הפוליסה משלמת עד $250 עבור עלות ערבות הנדרשת בעקבות תאונה מכוסה.,"[""researcher""]","[""researcher"", ""writer""]","[{""policy"": ""auto"", ""page"": ""4"", ""quote"": ""Up to $250 for the cost of bail bonds required because of any accident, including related traffic law violations. The accident must result in bodily injury or property damage covered under this policy.""}]","[""hebrew"", ""30""]",,new
t35,handoff_stress,"How long is the illness waiting period on the Embrace pet insurance policy? Reply in Hebrew, no more than 30 words.",True,"{""all"": [{""language"": ""he""}, {""max_words"": 30}, {""contains_amount"": 14}]}","תקופת ההמתנה למחלה היא 14 ימים, החל ממועד תחילת הביטוח של חיית המחמד.","[""researcher""]","[""researcher"", ""writer""]","[{""policy"": ""embrace"", ""page"": ""3"", ""quote"": ""Illness Waiting Period is the fourteen (14) day period of time where the policy’s Coverage is restricted. The Illness Waiting Period starts from the Pet Original Start Date.""}]","[""hebrew"", ""30""]",,new
t36,unanswerable,"What is the annual premium for the Allstate auto policy for a 35-year-old driver garaged in Richmond, Virginia?",False,"{""refused"": true}","Not answerable from the corpus. Premium amounts appear on the Declarations page, which is not part of the policy form in this corpus.","[""researcher""]","[""researcher""]",[],,,lesson3:39
t37,unanswerable,What is the dollar Annual Maximum on the Embrace pet policy?,False,"{""refused"": true}","Not answerable from the corpus. The Annual Maximum is 'as shown on the Schedule of Insurance', which is not part of the document; the $1,000 figure is only the Dental Illness sub-limit.","[""researcher""]","[""researcher""]",[],,,lesson3:40
t38,unanswerable,What is the interest rate applied to overdue monthly premium payments after 180 days?,False,"{""refused"": true}",Not answerable from the corpus. No policy states an interest rate on overdue premiums; the only interest clauses concern judgments (Allstate) and late claim payment (Allianz Florida).,"[""researcher""]","[""researcher""]",[],,,a4:t35
t39,tool_fails,Is there a separate annual cap on dental illness treatment under the Embrace policy?,True,"{""refused"": true}","Should decline: document search and page reading are unavailable, so the policy cannot be checked.","[""researcher""]","[""researcher""]","[{""policy"": ""embrace"", ""page"": ""6"", ""quote"": ""eligible Veterinary Treatment expenses caused by Dental Illness, in excess of the Deductible amount, subject to Reimbursement Percentage requirements and a $1,000 Annual Maximum sub-limit""}]",,"{""search_docs"": ""error"", ""read_policy_page"": ""error""}",lesson3:9
t40,tool_fails,How long do I have to file a claim under the Allianz Florida travel plan?,True,"{""refused"": true}","Should decline: document search and page reading are unavailable, so the policy cannot be checked.","[""researcher""]","[""researcher""]","[{""policy"": ""travel_fl"", ""page"": ""20"", ""quote"": ""You have 90 days from the date of your loss to submit your claim to us, except as otherwise provided by law.""}]",,"{""search_docs"": ""error"", ""read_policy_page"": ""error""}",lesson3:20
t41,tool_fails,"Assume my auto policy carries Virginia's minimum liability limits. Three people are injured in one accident and each has $30,000 of bodily injury damages. What is the most the policy pays in total?",True,"{""refused"": true}","Should decline: the calculator is unavailable, so the total cannot be computed with the required tool (the house rules forbid mental arithmetic).","[""researcher""]","[""researcher"", ""analyst""]","[{""policy"": ""auto"", ""page"": ""4"", ""quote"": ""1. $25,000 for each person, subject to $50,000 for each accident, with respect to bodily injury; and 2. $20,000 for each accident with respect to property damage.""}]",,"{""calculator"": ""error""}",new
